epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,781,0.25959974977637373,0.003719389667584252,1.6278427793488155,38.97866067141485,88.01022577224713,0.2971529720330718,61.02133932858515,11.989774227752875,0.00876106122496781,0.0028781101202509205,1.5079289331436156,50.2,92.42,0.5006319741988424,49.8,7.579999999999998
2,1562,0.25731902879575763,0.0021388634524180552,1.1219260773493904,59.455338208226635,95.8219755321703,0.5652026910032374,40.544661791773365,4.178024467829701,0.007942047848063669,0.002999243462920948,0.9893608142852783,67.32,97.57,0.6701403596408886,32.68000000000001,2.430000000000007
3,2343,0.25757152689251184,0.002646263979766494,0.9010065751252804,68.02920684619077,97.43167813700384,0.6648578091473265,31.970793153809225,2.5683218629961573,0.008389225431308624,0.0029989928956244403,0.9739913464546204,69.2,97.78,0.6894680856603342,30.799999999999997,2.219999999999999
4,3124,0.257699541795269,0.0027937379292428265,0.7632159199589499,73.24762674055698,98.17816701344431,0.7221924929383355,26.75237325944302,1.821832986555691,0.008281656131622898,0.0029756218005137836,0.7442870162010193,75.04,98.62,0.7515397497236233,24.959999999999994,1.3799999999999955
5,3905,0.2571299384406526,0.00204982311869095,0.6761310487489541,76.42983254641486,98.56916713348271,0.7632999686433971,23.570167453585142,1.4308328665172922,0.00837053918534783,0.002650502381051422,0.9984996267318725,70.89,97.16,0.7075856525270435,29.11,2.8400000000000034
6,4686,0.25733780097717207,0.0023669482193286228,0.614641194917481,78.58589748719591,98.78611155569783,0.7807347217429068,21.414102512804092,1.213888444302171,0.008486686998112187,0.0029190801511144943,0.5520805956363678,81.78,99.18,0.8163595259742278,18.22,0.8199999999999932
7,5467,0.25768352134890193,0.0026980945303864425,0.5659808870238012,80.28219030089629,98.95241477272727,0.7997348100335996,19.71780969910371,1.0475852272727337,0.008453747269454276,0.002919209231236938,0.6072731856822967,80.24,98.98,0.7983261768485765,19.760000000000005,1.019999999999996
