epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,97,0.09548196350176309,0.020942206235276054,1.9335946901557373,26.8725837628866,80.00161082474227,0.218096439840641,73.12741623711341,19.998389175257728,0.05071491003036499,0.03260793685913086,1.7311827264785766,33.68000000610351,88.34000001220703,0.33485761490211546,66.31999999389649,11.659999987792972
2,194,0.08137352933588717,0.0058587556032790354,1.5643590221699981,40.29679445876289,90.7860824742268,0.37157035297411933,59.70320554123711,9.213917525773198,0.04955868721008301,0.03289262056350708,1.5710832649230957,42.91999994506836,93.23000004882813,0.42937228216294543,57.08000005493164,6.769999951171869
3,291,0.07936762534465987,0.006535694771206256,1.273694614774173,53.314271907216494,94.60776417525773,0.5071999880592565,46.685728092783506,5.392235824742272,0.05137094259262085,0.03477632999420166,1.5266669715881347,51.109999975585936,91.22999998779297,0.5113366660030509,48.890000024414064,8.770000012207035
4,388,0.08165700656851542,0.008795895527318581,1.0557759219838172,61.70264175257732,96.47632087628865,0.6056869826486178,38.29735824742268,3.5236791237113465,0.050386238098144534,0.0323860764503479,1.3444008134841918,55.26,95.83000002441406,0.554997775661487,44.74,4.169999975585938
5,485,0.08006593615738387,0.007147304790536153,0.9230613806813034,66.68613079896907,97.43274806701031,0.6604213426880933,33.313869201030926,2.5672519329896915,0.05047516822814942,0.03469761610031128,1.2584066301345824,58.66999998779297,94.2,0.5922020831606233,41.33000001220703,5.799999999999997
6,582,0.08105351752841596,0.008586387044375705,0.8356997389154336,69.94201030927834,97.9602931701031,0.6902793473108905,30.057989690721655,2.0397068298969003,0.0519676923751831,0.034388256072998044,0.9662583374023438,67.36999994506836,96.99999996337891,0.6759891579540961,32.63000005493164,3.0000000366210884
7,679,0.07982711447882898,0.006940209988466243,0.7674429539552668,72.54550579896907,98.27440399484536,0.7211089184591799,27.454494201030926,1.7255960051546424,0.05008434057235718,0.03228398561477661,0.9623722322463989,66.27999986572266,98.03999989013671,0.6587506135870046,33.72000013427734,1.9600001098632873
8,776,0.07982069192473422,0.006977914534893232,0.6987799787029778,75.15705541237114,98.57643363402062,0.747883551583577,24.842944587628864,1.423566365979383,0.05072119235992432,0.034359300136566163,0.8892091732025147,69.04999997558593,98.01999992675782,0.6953346122899975,30.950000024414067,1.9800000732421807
9,873,0.0808119823023216,0.008268361239089179,0.6480252146720886,77.09004510309278,98.7878543814433,0.7664703148321681,22.909954896907223,1.212145618556704,0.04962087869644165,0.03363066911697388,1.2114361194610597,67.1199999572754,95.39999985351562,0.6703397021030157,32.8800000427246,4.600000146484376
10,970,0.08034486623154473,0.007620351830708612,0.609761506319046,78.65254510309278,98.9368556701031,0.7848978370467689,21.347454896907223,1.0631443298969003,0.05221701860427856,0.0358941912651062,0.8017127413749695,73.78999990234375,98.25000003662109,0.7398492864864443,26.21000009765625,1.7499999633789116
11,1067,0.08018985482835278,0.0067718299393801345,0.5690366020522166,80.16672036082474,98.99323453608247,0.8010408265164598,19.83327963917526,1.0067654639175316,0.051540279388427736,0.034750509262084964,0.6868361500740051,76.64000004882813,98.67000003662109,0.7664789914233721,23.359999951171872,1.32999996337891
12,1164,0.08058683896802135,0.008020661540867127,0.5301265301778144,81.61042203608247,99.15230347938144,0.8141228778056614,18.38957796391753,0.8476965206185554,0.05018845796585083,0.03409813642501831,0.8765569666862488,71.87999991455078,98.50999993896484,0.7217995069038355,28.12000008544922,1.4900000610351611
13,1261,0.07968496293136754,0.00711622680585409,0.5075684137565574,82.32321198453609,99.1261275773196,0.8234315450440114,17.676788015463913,0.8738724226804067,0.04924455881118774,0.03191839456558228,0.7287888095855712,76.43000002441406,98.91999993896485,0.769211162789041,23.569999975585944,1.0800000610351503
14,1358,0.080356971504762,0.007356911590418865,0.48645026567056004,83.19909793814433,99.20868234536083,0.8322006813667392,16.800902061855666,0.7913176546391725,0.05063583850860596,0.03348058462142944,0.7511293423652649,74.84999998779297,98.75000003662109,0.7474756469753673,25.15000001220703,1.2499999633789116
15,1455,0.08016460458027948,0.007172761504183111,0.4596318608706759,84.1112274484536,99.31338595360825,0.8424499126913807,15.888772551546396,0.6866140463917532,0.051648736000061035,0.034612619876861574,0.7223689904212952,78.08999998779296,98.71999993896485,0.7811409010138847,21.910000012207036,1.2800000610351532
16,1552,0.080138263014174,0.0070840943719922885,0.4407989459553945,84.6971649484536,99.38587306701031,0.8443375341513681,15.302835051546396,0.6141269329896915,0.05074700117111206,0.03427776098251343,0.5442077171325683,82.04999993896485,99.05999989013672,0.8212442844851056,17.950000061035155,0.9400001098632771
17,1649,0.07977656482421246,0.007022700358911888,0.4250675439834595,85.37371134020619,99.45231958762886,0.8564300067942376,14.626288659793815,0.5476804123711361,0.05305502414703369,0.03755297660827637,0.5573802225112915,81.65000004882812,99.05000004882812,0.8175823078745643,18.34999995117188,0.9499999511718755
