epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
37,28897,0.1802280431520313,0.0018943952689860755,0.24297890536458483,91.45389024487837,99.80781350032011,0.9174022368610408,8.546109755121634,0.19218649967989165,0.008945660985958804,0.002974955139646105,0.24624918253421785,92.27,99.8,0.9222619465474642,7.730000000000004,0.20000000000000284
38,29678,0.17990572687605738,0.0014572760207094396,0.2414079521628867,91.50140544974391,99.81306518085788,0.9196546237632209,8.498594550256087,0.18693481914212384,0.008652286165079494,0.0029370693644140936,0.2915995063304901,90.89,99.67,0.907300771099567,9.11,0.3299999999999983
39,30459,0.1800409663807262,0.001633040273082699,0.2394627065000705,91.5890584987196,99.81569102112677,0.9186287993865315,8.410941501280405,0.18430897887323283,0.008963083765309328,0.0031392635053889765,0.28692947028279303,91.54,99.68,0.9190214345602747,8.459999999999994,0.3199999999999932
40,31240,0.17992756614001246,0.001554460440036124,0.24098140009882812,91.53854233354673,99.81118958066581,0.9191016878475231,8.46145766645327,0.18881041933418885,0.008821124483825295,0.0029678921790639305,0.3195966242551804,90.53,99.74,0.9064856779412019,9.469999999999999,0.2600000000000051
41,32021,0.18010159185998112,0.0017081106823324088,0.23542488385445023,91.69446722951345,99.8199423815621,0.9200093140951964,8.30553277048655,0.1800576184378997,0.009028659504689987,0.003199554552697832,0.279552867102623,91.23,99.74,0.9120779135567171,8.769999999999996,0.2600000000000051
42,32802,0.18006129423573747,0.0016696224139380851,0.2334121936853503,91.81037932138284,99.81444062099872,0.9220923929329693,8.18962067861716,0.18555937900127617,0.008927875263675762,0.0031732449865644902,0.33590805225372317,90.16,99.66,0.9032340356142416,9.840000000000003,0.3400000000000034
43,33583,0.179942287037223,0.0015949995355935775,0.23202648895307326,91.81150468149808,99.81831686139564,0.922123980975195,8.188495318501921,0.18168313860435603,0.008861988213411562,0.00316163992426198,0.329729873085022,90.23,99.59,0.9009547569904178,9.769999999999996,0.4099999999999966
44,34364,0.18008139344092064,0.0016835902015011992,0.23157037746891015,91.84939180537772,99.81619118117797,0.922799321982945,8.15060819462228,0.1838088188220297,0.009060267430202216,0.0031214534856711224,0.3239107236623764,90.15,99.65,0.9018009957591868,9.849999999999994,0.3499999999999943
45,35145,0.17984735675718966,0.0014111901062246169,0.23004171611900978,91.89978293053777,99.83094590268887,0.9219398655772962,8.100217069462232,0.16905409731113252,0.008581565443877202,0.00324988668891275,0.34711587975025177,89.77,99.52,0.8940099419986214,10.230000000000004,0.480000000000004
46,35926,0.18007991255932368,0.0018149350272555968,0.22428224603055227,92.1111005521767,99.8411991837388,0.9239936715487564,7.888899447823306,0.15880081626120557,0.008764274560721817,0.0034443238738236155,0.30515049253702164,90.64,99.76,0.9015099736223865,9.36,0.23999999999999488
47,36707,0.18024607474001056,0.0019250511359924238,0.22428220513344727,92.10159751120358,99.82719470230474,0.9246730809115765,7.898402488796421,0.17280529769526254,0.00880387937946684,0.0030507965452352148,0.3448154541254044,90.17,99.66,0.8999224538466118,9.829999999999998,0.3400000000000034
