epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,781,0.1042550748807978,0.007156998796743864,1.6422519152662054,38.49881962227913,87.77308738796415,0.29667206474280705,61.50118037772087,12.226912612035846,0.01140406177302075,0.00390960304600418,1.32248157787323,53.67,94.38,0.5331187679771633,46.33,5.6200000000000045
2,1562,0.0996156105158729,0.0027878394352794456,1.148603992868172,58.56098951664533,95.51456466069142,0.560040075475381,41.43901048335467,4.48543533930858,0.011709977107442869,0.005060813988849616,1.1334974740982056,62.55,96.12,0.6223276679945874,37.45,3.8799999999999955
3,2343,0.09929446465837818,0.002717603641954488,0.945463849548799,66.3572343149808,97.13083186619718,0.6484931483311674,33.6427656850192,2.869168133802816,0.011407455820946178,0.0034945633760683097,1.0474674075126649,67.51,97.7,0.6752021848409876,32.489999999999995,2.299999999999997
4,3124,0.09892588937786263,0.0024396832865423187,0.7957992171355918,71.97378161011524,97.99035691421255,0.7075709005934333,28.02621838988476,2.009643085787445,0.011672264451433899,0.0047085771135463835,0.8544374919891358,72.58,98.16,0.726423848269559,27.42,1.8400000000000034
5,3905,0.0979857939306203,0.0025384404747800546,0.7067949961150655,75.25083026568502,98.43599951984635,0.7499277773531995,24.749169734314975,1.564000480153652,0.012247255653332753,0.005348670254847047,0.8483812336921692,73.32,98.39,0.7370217538614662,26.680000000000007,1.6099999999999994
